player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,explanation
Jonny Williams,170322,https://www.transfermarkt.com/jonny-williams/profil/spieler/170322,18/08/2013,19 years 10 months 09 days,19,Premier League,16/08/2011,17,17,Championship,17,first scrap players
Magnus Wolff Eikrem,54775,https://www.transfermarkt.com/magnus-wolff-eikrem/profil/spieler/54775,18/03/2011,20 years 07 months 10 days,20,Eliteserien,8/8/2014,24,24,Championship,20,first scrap players
Ricky van Wolfswinkel,41355,https://www.transfermarkt.com/ricky-van-wolfswinkel/profil/spieler/41355,5/4/2008,19 years 02 months 09 days,19,VriendenLoterij Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Cauley Woodrow,169801,https://www.transfermarkt.com/cauley-woodrow/profil/spieler/169801,8/3/2014,19 years 03 months 06 days,19,Premier League,9/8/2014,19,19,Championship,19,first scrap players
Joseph Yobo,3270,https://www.transfermarkt.com/joseph-yobo/profil/spieler/3270,11/9/1999,19 years 05 days,19,Jupiler Pro League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Wilfried Zaha,145988,https://www.transfermarkt.com/wilfried-zaha/profil/spieler/145988,7/12/2013,21 years 27 days,21,Premier League,27/03/2010,17,17,Championship,17,first scrap players
Elsad Zverotić,25542,https://www.transfermarkt.com/elsad-zveroti/profil/spieler/25542,20/07/2008,21 years 08 months 19 days,21,Raiffeisen Super League,31/07/2004,17,17,Brack.ch Challenge League,17,first scrap players
Rolando Aarons,258188,https://www.transfermarkt.com/rolando-aarons/profil/spieler/258188,17/08/2014,18 years 09 months 01 day,18,Premier League,5/8/2016,20,20,Championship,18,first scrap players
Mehdi Abeid,111036,https://www.transfermarkt.com/mehdi-abeid/profil/spieler/111036,1/11/2014,22 years 02 months 26 days,22,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,22,first scrap players
Toby Alderweireld,42710,https://www.transfermarkt.com/toby-alderweireld/profil/spieler/42710,18/01/2009,19 years 10 months 16 days,19,VriendenLoterij Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Jak Alnwick,128895,https://www.transfermarkt.com/jak-alnwick/profil/spieler/128895,6/12/2014,21 years 05 months 19 days,21,Premier League,11/3/2023,29,29,Championship,21,first scrap players
Ricky Álvarez,76077,https://www.transfermarkt.com/ricky-lvarez/profil/spieler/76077,8/6/2008,20 years 01 month 27 days,20,Torneo Final,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Scott Arfield,55291,https://www.transfermarkt.com/scott-arfield/profil/spieler/55291,4/8/2007,18 years 09 months 03 days,18,Scottish Premiership,17/08/2012,23,23,Championship,18,first scrap players
Christian Atsu,186997,https://www.transfermarkt.com/christian-atsu/profil/spieler/186997,28/08/2011,19 years 07 months 18 days,19,Liga Portugal,13/09/2016,24,24,Championship,19,first scrap players
Charlie Austin,129627,https://www.transfermarkt.com/charlie-austin/profil/spieler/129627,16/08/2014,25 years 01 month 11 days,25,Premier League,1/2/2011,21,21,Championship,21,first scrap players
Ashley Barnes,63200,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,18/08/2014,24 years 09 months 19 days,24,Premier League,7/2/2009,19,19,Championship,19,first scrap players
Modou Barrow,189070,https://www.transfermarkt.com/modou-barrow/profil/spieler/189070,23/05/2012,19 years 07 months 10 days,19,Allsvenskan,6/4/2013,20,20,Superettan,19,first scrap players
Héctor Bellerín,191217,https://www.transfermarkt.com/hctor-bellern/profil/spieler/191217,18/10/2014,19 years 06 months 29 days,19,Premier League,30/11/2013,18,18,Championship,18,first scrap players
Muhamed Bešić,93905,https://www.transfermarkt.com/muhamed-bei/profil/spieler/93905,12/11/2010,18 years 02 months 02 days,18,1.Bundesliga,17/02/2018,25,25,Championship,18,first scrap players
Tyler Blackett,134414,https://www.transfermarkt.com/tyler-blackett/profil/spieler/134414,16/08/2014,20 years 04 months 14 days,20,Premier League,2/11/2013,19,19,Championship,19,first scrap players
Sebastián Blanco,54576,https://www.transfermarkt.com/sebastin-blanco/profil/spieler/54576,2/3/2006,17 years 11 months 15 days,17,Torneo Final,9/3/2025,36,36,USL Championship,17,first scrap players
Daley Blind,12282,https://www.transfermarkt.com/daley-blind/profil/spieler/12282,7/12/2008,18 years 08 months 28 days,18,VriendenLoterij Eredivisie,15/09/2013,23,23,Keuken Kampioen Divisie,18,first scrap players
Tyias Browning,156934,https://www.transfermarkt.com/tyias-browning/profil/spieler/156934,27/09/2014,20 years 04 months 00 days,20,Premier League,11/1/2014,19,19,Championship,19,first scrap players
Will Buckley,77329,https://www.transfermarkt.com/will-buckley/profil/spieler/77329,16/08/2014,24 years 08 months 26 days,24,Premier League,21/03/2010,20,20,Championship,20,first scrap players
Reece Burke,264220,https://www.transfermarkt.com/reece-burke/profil/spieler/264220,25/04/2015,18 years 07 months 23 days,18,Premier League,10/9/2016,20,20,Championship,18,first scrap players
Willy Caballero,19948,https://www.transfermarkt.com/willy-caballero/profil/spieler/19948,6/2/2002,20 years 04 months 09 days,20,Torneo Inicial,3/4/2005,23,23,Segunda División,20,first scrap players
Rémy Cabella,113707,https://www.transfermarkt.com/rmy-cabella/profil/spieler/113707,4/12/2010,20 years 08 months 26 days,20,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Esteban Cambiasso,7520,https://www.transfermarkt.com/esteban-cambiasso/profil/spieler/7520,20/09/1998,18 years 01 month 02 days,18,Torneo Inicial,20/10/1996,16,16,Segunda División,16,first scrap players
Joel Campbell,131248,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,15/11/2009,17 years 04 months 20 days,17,Primera División Invierno,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Emre Can,119296,https://www.transfermarkt.com/emre-can/profil/spieler/119296,13/04/2013,19 years 03 months 01 day,19,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Nathaniel Chalobah,128900,https://www.transfermarkt.com/nathaniel-chalobah/profil/spieler/128900,28/09/2014,19 years 09 months 16 days,19,Premier League,18/09/2012,17,17,Championship,17,first scrap players
Andreas Christensen,196948,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,24/05/2015,19 years 01 month 14 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Brandon Comley,362809,https://www.transfermarkt.com/brandon-comley/profil/spieler/362809,24/05/2015,19 years 06 months 06 days,19,Premier League,12/1/2017,21,21,Championship,19,first scrap players
Diego Costa,44779,https://www.transfermarkt.com/diego-costa/profil/spieler/44779,28/01/2007,18 years 03 months 21 days,18,Liga Portugal,27/08/2006,17,17,Ledman Liga Pro,17,first scrap players
Thibaut Courtois,108390,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,17/04/2009,16 years 11 months 06 days,16,Jupiler Pro League,No second tier career,No second tier career,No second tier career,No second tier career,16,first scrap players
Aaron Cresswell,92571,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,16/08/2014,24 years 08 months 01 day,24,Premier League,6/8/2011,21,21,Championship,21,first scrap players
Juan Cuadrado,91970,https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970,1/11/2009,21 years 05 months 06 days,21,Serie A,No second tier career,No second tier career,No second tier career,No second tier career,21,first scrap players
Jason Davidson,137669,https://www.transfermarkt.com/jason-davidson/profil/spieler/137669,16/01/2010,18 years 06 months 18 days,18,Liga Portugal,6/2/2011,19,19,Ledman Liga Pro,18,first scrap players
Ángel Di María,45320,https://www.transfermarkt.com/ngel-di-mara/profil/spieler/45320,15/12/2005,17 years 10 months 01 day,17,Torneo Inicial,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Eric Dier,175722,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,11/11/2012,18 years 09 months 27 days,18,Liga Portugal,26/08/2012,18,18,Ledman Liga Pro,18,first scrap players
Michael Doughty,173832,https://www.transfermarkt.com/michael-doughty/profil/spieler/173832,30/01/2013,20 years 02 months 10 days,20,Scottish Premiership,15/08/2015,22,22,Championship,20,first scrap players
Danny Drinkwater,73491,https://www.transfermarkt.com/danny-drinkwater/profil/spieler/73491,16/08/2014,24 years 05 months 11 days,24,Premier League,8/8/2010,20,20,Championship,20,first scrap players
Eljero Elia,27805,https://www.transfermarkt.com/eljero-elia/profil/spieler/27805,23/01/2005,17 years 11 months 10 days,17,Eredivisie,19/11/2021,34,34,Keuken Kampioen Divisie,17,first scrap players
Radamel Falcao,39152,https://www.transfermarkt.com/radamel-falcao/profil/spieler/39152,6/3/2005,19 years 24 days,19,Torneo Final,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Federico Fazio,45314,https://www.transfermarkt.com/federico-fazio/profil/spieler/45314,25/08/2007,20 years 05 months 08 days,20,LaLiga,9/9/2007,20,20,Segunda División,20,first scrap players
Federico Fernández,85475,https://www.transfermarkt.com/federico-fernndez/profil/spieler/85475,22/03/2009,20 years 01 month 01 day,20,Torneo Final,4/8/2018,29,29,Championship,20,first scrap players
Fraser Forster,52570,https://www.transfermarkt.com/fraser-forster/profil/spieler/52570,17/08/2014,26 years 05 months 00 days,26,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,26,first scrap players
Darnell Furlong,351755,https://www.transfermarkt.com/darnell-furlong/profil/spieler/351755,21/02/2015,19 years 03 months 21 days,19,Premier League,12/1/2017,21,21,Championship,19,first scrap players
Brendan Galloway,208244,https://www.transfermarkt.com/brendan-galloway/profil/spieler/208244,16/05/2015,19 years 01 month 29 days,19,Premier League,4/8/2017,21,21,Championship,19,first scrap players
Cristian Gamboa,121686,https://www.transfermarkt.com/cristian-gamboa/profil/spieler/121686,19/01/2008,18 years 02 months 26 days,18,Primera División Verano,8/8/2010,20,20,OBOS-ligaen,18,first scrap players
Dominic Gape,226964,https://www.transfermarkt.com/dominic-gape/profil/spieler/226964,20/12/2014,20 years 03 months 11 days,20,Premier League,21/11/2020,26,26,,20,first scrap players
Florin Gardoș,57423,https://www.transfermarkt.com/florin-gardo/profil/spieler/57423,16/08/2010,21 years 09 months 18 days,21,SuperLiga,No second tier career,No second tier career,No second tier career,No second tier career,21,first scrap players
Carles Gil,127987,https://www.transfermarkt.com/carles-gil/profil/spieler/127987,19/08/2013,20 years 08 months 28 days,20,LaLiga,19/08/2012,19,19,Segunda División,19,first scrap players
Bafétimbi Gomis,22388,https://www.transfermarkt.com/baftimbi-gomis/profil/spieler/22388,7/8/2004,19 years 01 day,19,Ligue 1,18/01/2004,18,18,Ligue 2,18,first scrap players
Kenji Gorré,374889,https://www.transfermarkt.com/kenji-gorr/profil/spieler/374889,24/05/2015,20 years 07 months 25 days,20,Premier League,3/2/2019,24,24,Liga Portugal 2 Sabseg,20,first scrap players
Reece Grego-Cox,264199,https://www.transfermarkt.com/reece-grego-cox/profil/spieler/264199,7/3/2015,18 years 03 months 23 days,18,Premier League,7/5/2017,20,20,Championship,18,first scrap players
Matt Grimes,265471,https://www.transfermarkt.com/matt-grimes/profil/spieler/265471,4/4/2015,19 years 08 months 20 days,19,Premier League,24/02/2016,20,20,Championship,19,first scrap players
Ben Hamer,67283,https://www.transfermarkt.com/ben-hamer/profil/spieler/67283,13/09/2014,26 years 09 months 24 days,26,Premier League,18/08/2012,24,24,Championship,24,first scrap players
Dean Hammond,33065,https://www.transfermarkt.com/dean-hammond/profil/spieler/33065,16/08/2014,31 years 05 months 09 days,31,Premier League,14/09/2002,19,19,First Division (until 03/04),19,first scrap players
Tom Heaton,34130,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,18/08/2014,28 years 04 months 03 days,28,Premier League,9/8/2008,22,22,Championship,22,first scrap players
Rushian Hepburn-Murphy,314237,https://www.transfermarkt.com/rushian-hepburn-murphy/profil/spieler/314237,14/03/2015,16 years 06 months 14 days,16,Premier League,24/09/2016,18,18,Championship,16,first scrap players
Abel Hernández,76608,https://www.transfermarkt.com/abel-hernndez/profil/spieler/76608,22/04/2007,16 years 08 months 14 days,16,,31/08/2013,23,23,Serie B,16,first scrap players
Ander Herrera,99343,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343,29/08/2009,20 years 15 days,20,LaLiga,1/2/2009,19,19,Segunda División,19,first scrap players
Jake Hesketh,315185,https://www.transfermarkt.com/jake-hesketh/profil/spieler/315185,8/12/2014,18 years 08 months 11 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Brown Ideye,64308,https://www.transfermarkt.com/brown-ideye/profil/spieler/64308,2/3/2008,19 years 04 months 21 days,19,Raiffeisen Super League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Danny Ings,134294,https://www.transfermarkt.com/danny-ings/profil/spieler/134294,18/08/2014,22 years 26 days,22,Premier League,14/02/2012,19,19,Championship,19,first scrap players
Lloyd Isgrove,226965,https://www.transfermarkt.com/lloyd-isgrove/profil/spieler/226965,17/08/2014,21 years 07 months 05 days,21,Premier League,21/03/2015,22,22,Championship,21,first scrap players
Mauricio Isla,43722,https://www.transfermarkt.com/mauricio-isla/profil/spieler/43722,17/02/2008,19 years 08 months 05 days,19,Serie A,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Matty James,73522,https://www.transfermarkt.com/matty-james/profil/spieler/73522,21/09/2014,23 years 01 month 30 days,23,Premier League,9/2/2010,18,18,Championship,18,first scrap players
Daryl Janmaat,60744,https://www.transfermarkt.com/daryl-janmaat/profil/spieler/60744,31/08/2008,19 years 01 month 09 days,19,VriendenLoterij Eredivisie,5/10/2007,18,18,Keuken Kampioen Divisie,18,first scrap players
Siem de Jong,45509,https://www.transfermarkt.com/siem-de-jong/profil/spieler/45509,7/10/2007,18 years 08 months 09 days,18,VriendenLoterij Eredivisie,9/9/2016,27,27,Keuken Kampioen Divisie,18,first scrap players
Lukas Jutkiewicz,33507,https://www.transfermarkt.com/lukas-jutkiewicz/profil/spieler/33507,5/8/2006,17 years 04 months 08 days,17,Raiffeisen Super League,1/1/2008,18,18,Championship,17,first scrap players
Michael Keane,118534,https://www.transfermarkt.com/michael-keane/profil/spieler/118534,24/08/2014,21 years 07 months 13 days,21,Premier League,6/11/2012,19,19,Championship,19,first scrap players
Andy King,56872,https://www.transfermarkt.com/andy-king/profil/spieler/56872,16/08/2014,25 years 09 months 18 days,25,Premier League,2/10/2007,18,18,Championship,18,first scrap players
Anthony Knockaert,149237,https://www.transfermarkt.com/anthony-knockaert/profil/spieler/149237,16/08/2014,22 years 08 months 27 days,22,Premier League,29/07/2011,19,19,Ligue 2,19,first scrap players
Cheikhou Kouyaté,66934,https://www.transfermarkt.com/cheikhou-kouyat/profil/spieler/66934,19/01/2008,18 years 29 days,18,Jupiler Pro League,14/09/2025,35,35,1.Lig,18,first scrap players
Cole Kpekawa,347895,https://www.transfermarkt.com/cole-kpekawa/profil/spieler/347895,24/05/2015,19 years 04 days,19,Premier League,22/08/2015,19,19,Championship,19,first scrap players
Andrej Kramarić,46580,https://www.transfermarkt.com/andrej-kramari/profil/spieler/46580,24/05/2009,17 years 11 months 05 days,17,1.HNL,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Bojan Krkić,44675,https://www.transfermarkt.com/bojan-krki/profil/spieler/44675,16/09/2007,17 years 19 days,17,LaLiga,5/8/2018,27,27,Championship,17,first scrap players
Daniel Lafferty,85928,https://www.transfermarkt.com/daniel-lafferty/profil/spieler/85928,4/3/2011,21 years 09 months 14 days,21,League of Ireland Premier Division,6/3/2010,20,20,Scottish Championship,20,first scrap players
Jesse Lingard,141660,https://www.transfermarkt.com/jesse-lingard/profil/spieler/141660,16/08/2014,21 years 08 months 01 day,21,Premier League,6/11/2012,19,19,Championship,19,first scrap players
Ruben Loftus-Cheek,202886,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,31/01/2015,19 years 08 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Kevin Long,111114,https://www.transfermarkt.com/kevin-long/profil/spieler/111114,9/5/2009,18 years 08 months 21 days,18,League of Ireland Premier Division,2/10/2012,22,22,Championship,18,first scrap players
Filipe Luís,21725,https://www.transfermarkt.com/filipe-lus/profil/spieler/21725,30/03/2003,17 years 07 months 21 days,17,Campeonato Brasileiro Série A,27/08/2005,20,20,Segunda División,17,first scrap players
Harry Maguire,177907,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,20/12/2014,21 years 09 months 15 days,21,Premier League,12/4/2011,18,18,Championship,18,first scrap players
Riyad Mahrez,171424,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,16/08/2014,23 years 05 months 26 days,23,Premier League,29/07/2011,20,20,Ligue 2,20,first scrap players
Ainsley Maitland-Niles,285845,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,13/12/2014,17 years 03 months 14 days,17,Premier League,8/8/2015,17,17,Championship,17,first scrap players
Sadio Mané,200512,https://www.transfermarkt.com/sadio-man/profil/spieler/200512,15/09/2012,20 years 05 months 05 days,20,Bundesliga,14/01/2012,19,19,Ligue 2,19,first scrap players
Eliaquim Mangala,90681,https://www.transfermarkt.com/eliaquim-mangala/profil/spieler/90681,21/12/2008,17 years 10 months 08 days,17,Jupiler Pro League,30/09/2012,21,21,Ledman Liga Pro,17,first scrap players
Javier Manquillo,162029,https://www.transfermarkt.com/javier-manquillo/profil/spieler/162029,9/12/2012,18 years 07 months 04 days,18,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Lazar Marković,144303,https://www.transfermarkt.com/lazar-markovi/profil/spieler/144303,29/05/2011,17 years 02 months 27 days,17,Linglong Tire Super liga Srbije,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Dean Marney,4055,https://www.transfermarkt.com/dean-marney/profil/spieler/4055,16/08/2003,19 years 06 months 16 days,19,Premier League,6/11/2004,20,20,Championship,19,first scrap players
Emiliano Martínez,111873,https://www.transfermarkt.com/emiliano-martnez/profil/spieler/111873,22/11/2014,22 years 02 months 20 days,22,Premier League,23/11/2013,21,21,Championship,21,first scrap players
Ryan Mason,61834,https://www.transfermarkt.com/ryan-mason/profil/spieler/61834,27/09/2014,23 years 03 months 14 days,23,Premier League,14/08/2010,19,19,Championship,19,first scrap players
Jason McCarthy,227185,https://www.transfermarkt.com/jason-mccarthy/profil/spieler/227185,26/12/2014,19 years 01 month 19 days,19,Premier League,5/8/2017,21,21,Championship,19,first scrap players
Paddy McNair,167268,https://www.transfermarkt.com/paddy-mcnair/profil/spieler/167268,27/09/2014,19 years 05 months 00 days,19,Premier League,28/10/2017,22,22,Championship,19,first scrap players
Ben Mee,74810,https://www.transfermarkt.com/ben-mee/profil/spieler/74810,18/08/2014,24 years 10 months 28 days,24,Premier League,22/01/2011,21,21,Championship,21,first scrap players
Jefferson Montero,77932,https://www.transfermarkt.com/jefferson-montero/profil/spieler/77932,29/08/2010,20 years 11 months 28 days,20,LaLiga,18/10/2008,19,19,Liga de Expansión MX Apertura,19,first scrap players
Liam Moore,128906,https://www.transfermarkt.com/liam-moore/profil/spieler/128906,16/08/2014,21 years 06 months 16 days,21,Premier League,2/1/2012,18,18,Championship,18,first scrap players
Alberto Moreno,207917,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917,8/4/2012,19 years 09 months 03 days,19,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Wes Morgan,10003,https://www.transfermarkt.com/wes-morgan/profil/spieler/10003,16/08/2014,30 years 06 months 26 days,30,Premier League,16/08/2003,19,19,First Division (until 03/04),19,first scrap players
Dame N'Doye,44855,https://www.transfermarkt.com/dame-ndoye/profil/spieler/44855,24/09/2006,21 years 07 months 03 days,21,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,21,first scrap players
David Nugent,33963,https://www.transfermarkt.com/david-nugent/profil/spieler/33963,11/8/2007,22 years 03 months 09 days,22,Premier League,15/01/2005,19,19,Championship,19,first scrap players
Nélson Oliveira,72768,https://www.transfermarkt.com/nlson-oliveira/profil/spieler/72768,7/2/2010,18 years 05 months 30 days,18,Liga Portugal,12/9/2015,24,24,Championship,18,first scrap players
David Ospina,73396,https://www.transfermarkt.com/david-ospina/profil/spieler/73396,18/10/2008,20 years 01 month 17 days,20,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Gabriel Paulista,149498,https://www.transfermarkt.com/gabriel-paulista/profil/spieler/149498,15/05/2010,19 years 05 months 19 days,19,Campeonato Brasileiro Série A,25/06/2011,20,20,Campeonato Brasileiro Série B,19,first scrap players
Graziano Pellè,29594,https://www.transfermarkt.com/graziano-pell/profil/spieler/29594,11/1/2004,18 years 05 months 27 days,18,Serie A,30/01/2005,19,19,Serie B,18,first scrap players
Andreas Pereira,203394,https://www.transfermarkt.com/andreas-pereira/profil/spieler/203394,15/03/2015,19 years 02 months 11 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Ayoze Pérez,246968,https://www.transfermarkt.com/ayoze-prez/profil/spieler/246968,17/08/2014,21 years 19 days,21,Premier League,18/08/2013,20,20,Segunda División,20,first scrap players
Sébastien Pocognoli,17804,https://www.transfermarkt.com/sbastien-pocognoli/profil/spieler/17804,9/4/2004,16 years 08 months 08 days,16,Jupiler Pro League,27/09/2016,29,29,Championship,16,first scrap players
Diego Poyet,183286,https://www.transfermarkt.com/diego-poyet/profil/spieler/183286,23/08/2014,19 years 04 months 15 days,19,Premier League,1/2/2014,18,18,Championship,18,first scrap players
Anthony Réveillère,5668,https://www.transfermarkt.com/anthony-rveillre/profil/spieler/5668,3/2/1998,18 years 02 months 24 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Emmanuel Rivière,61637,https://www.transfermarkt.com/emmanuel-rivire/profil/spieler/61637,1/2/2009,18 years 10 months 29 days,18,Ligue 1,4/2/2013,22,22,Ligue 2,18,first scrap players
Andrew Robertson,234803,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,2/8/2013,19 years 04 months 22 days,19,Scottish Premiership,8/8/2015,21,21,Championship,19,first scrap players
Marcos Rojo,93176,https://www.transfermarkt.com/marcos-rojo/profil/spieler/93176,7/12/2008,18 years 08 months 17 days,18,Torneo Inicial,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Diafra Sakho,120610,https://www.transfermarkt.com/diafra-sakho/profil/spieler/120610,23/08/2014,24 years 07 months 30 days,24,Premier League,19/01/2010,20,20,Ligue 2,20,first scrap players
Georgios Samaras,6855,https://www.transfermarkt.com/georgios-samaras/profil/spieler/6855,26/10/2002,17 years 08 months 05 days,17,Eredivisie,3/4/2016,31,31,NASL Spring Championship,17,first scrap players
Alexis Sánchez,40433,https://www.transfermarkt.com/alexis-snchez/profil/spieler/40433,30/07/2005,16 years 07 months 11 days,16,Torneo Clausura (-2017),No second tier career,No second tier career,No second tier career,No second tier career,16,first scrap players
Jeffrey Schlupp,157506,https://www.transfermarkt.com/jeffrey-schlupp/profil/spieler/157506,16/08/2014,21 years 07 months 24 days,21,Premier League,13/08/2011,18,18,Championship,18,first scrap players
Kasper Schmeichel,16911,https://www.transfermarkt.com/kasper-schmeichel/profil/spieler/16911,11/8/2007,20 years 09 months 06 days,20,Premier League,27/10/2007,20,20,Championship,20,first scrap players
Ryan Seager,247647,https://www.transfermarkt.com/ryan-seager/profil/spieler/247647,1/2/2015,18 years 11 months 27 days,18,Premier League,17/08/2018,22,22,Keuken Kampioen Divisie,18,first scrap players
Jason Shackell,11756,https://www.transfermarkt.com/jason-shackell/profil/spieler/11756,28/02/2005,21 years 05 months 01 day,21,Premier League,5/4/2003,19,19,First Division (until 03/04),19,first scrap players
Ollie Shenton,335541,https://www.transfermarkt.com/ollie-shenton/profil/spieler/335541,11/2/2015,17 years 03 months 05 days,17,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Jerome Sinclair,236513,https://www.transfermarkt.com/jerome-sinclair/profil/spieler/236513,10/5/2015,18 years 07 months 20 days,18,Premier League,17/03/2015,18,18,Championship,18,first scrap players
Pape Souaré,125868,https://www.transfermarkt.com/pape-souar/profil/spieler/125868,20/02/2011,20 years 08 months 14 days,20,Ligue 1,16/08/2019,29,29,Ligue 2,20,first scrap players
Benjamin Stambouli,127160,https://www.transfermarkt.com/benjamin-stambouli/profil/spieler/127160,8/8/2010,19 years 11 months 26 days,19,Ligue 1,24/09/2024,34,34,Ligue 2,19,first scrap players
Jed Steer,110867,https://www.transfermarkt.com/jed-steer/profil/spieler/110867,24/05/2015,22 years 08 months 01 day,22,Premier League,12/9/2015,22,22,Championship,22,first scrap players
Dušan Tadić,36139,https://www.transfermarkt.com/duan-tadi/profil/spieler/36139,5/8/2006,17 years 08 months 16 days,17,Linglong Tire Super liga Srbije,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Matt Targett,250478,https://www.transfermarkt.com/matt-targett/profil/spieler/250478,27/09/2014,19 years 09 days,19,Premier League,27/01/2018,22,22,Championship,19,first scrap players
Dionatan Teixeira,107617,https://www.transfermarkt.com/dionatan-teixeira/profil/spieler/107617,18/04/2009,16 years 08 months 25 days,16,Nike Liga,25/08/2012,20,20,MONACObet liga,16,first scrap players
Tom Thorpe,128911,https://www.transfermarkt.com/tom-thorpe/profil/spieler/128911,27/09/2014,21 years 08 months 14 days,21,Premier League,1/2/2014,21,21,Championship,21,first scrap players
Kieran Trippier,95810,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810,18/08/2014,23 years 10 months 30 days,23,Premier League,9/2/2010,19,19,Championship,19,first scrap players
Leonardo Ulloa,54890,https://www.transfermarkt.com/leonardo-ulloa/profil/spieler/54890,2/4/2005,18 years 08 months 07 days,18,Torneo Final,31/08/2008,22,22,Segunda División,18,first scrap players
Fredrik Ulvestad,158022,https://www.transfermarkt.com/fredrik-ulvestad/profil/spieler/158022,31/10/2010,18 years 04 months 14 days,18,Eliteserien,28/12/2015,23,23,Championship,18,first scrap players
Víctor Valdés,7589,https://www.transfermarkt.com/vctor-valds/profil/spieler/7589,1/9/2002,20 years 07 months 18 days,20,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Enner Valencia,139503,https://www.transfermarkt.com/enner-valencia/profil/spieler/139503,13/02/2012,22 years 03 months 09 days,22,Serie A Primera Etapa,No second tier career,No second tier career,No second tier career,No second tier career,22,first scrap players
Jamie Vardy,197838,https://www.transfermarkt.com/jamie-vardy/profil/spieler/197838,31/08/2014,27 years 07 months 20 days,27,Premier League,18/08/2012,25,25,Championship,25,first scrap players
Silvestre Varela,31316,https://www.transfermarkt.com/silvestre-varela/profil/spieler/31316,19/08/2005,20 years 06 months 17 days,20,Liga Portugal,7/8/2021,36,36,Liga Portugal 2,20,first scrap players
Eduardo Vargas,89718,https://www.transfermarkt.com/eduardo-vargas/profil/spieler/89718,29/04/2007,17 years 05 months 09 days,17,,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Ross Wallace,9509,https://www.transfermarkt.com/ross-wallace/profil/spieler/9509,1/11/2003,18 years 05 months 09 days,18,Scottish Premiership,9/9/2006,21,21,Championship,18,first scrap players
Marcin Wasilewski,16947,https://www.transfermarkt.com/marcin-wasilewski/profil/spieler/16947,19/08/2000,20 years 02 months 10 days,20,Lotto Ekstraklasa,5/10/2013,33,33,Championship,20,first scrap players
Philipp Wollscheid,53173,https://www.transfermarkt.com/philipp-wollscheid/profil/spieler/53173,20/11/2010,21 years 08 months 14 days,21,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,21,first scrap players
